,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,15.88,29.65,0.0,4.2,1981-01-03
1,14.82,30.72,0.0,4.5,1981-01-04
2,18.05,31.23,0.0,4.3,1981-01-05
3,16.91,30.42,0.0,4.3,1981-01-06
4,17.49,30.22,0.38,4.1,1981-01-07
5,18.75,32.12,0.0,4.4,1981-01-08
6,15.55,28.77,0.0,4.1,1981-01-09
7,17.55,31.51,0.0,4.4,1981-01-10
8,16.51,34.08,0.0,5.1,1981-01-11
9,15.8,34.09,0.0,5.2,1981-01-12
10,16.73,32.65,0.35,4.8,1981-01-13
11,17.23,29.28,0.0,4.0,1981-01-14
12,16.11,28.61,0.0,4.0,1981-01-15
13,15.48,31.46,0.0,4.7,1981-01-16
14,18.09,26.84,0.0,3.4,1981-01-17
15,16.74,27.35,0.0,3.7,1981-01-18
16,17.75,28.01,0.0,3.7,1981-01-19
17,17.57,31.51,0.0,4.5,1981-01-20
18,18.17,35.89,0.0,5.5,1981-01-21
19,18.61,37.21,0.0,5.8,1981-01-22
20,18.46,36.9,0.0,5.7,1981-01-23
21,18.05,35.67,0.0,5.5,1981-01-24
22,19.83,35.71,0.0,5.3,1981-01-25
23,20.6,31.63,0.0,4.2,1981-01-26
24,17.94,33.85,0.0,5.1,1981-01-27
25,17.24,34.57,0.0,5.4,1981-01-28
26,17.59,34.52,0.0,5.3,1981-01-29
27,16.37,35.5,0.0,5.7,1981-01-30
28,16.9,35.92,0.0,5.8,1981-01-31
29,17.73,32.08,0.0,4.8,1981-02-01
30,17.48,33.51,0.0,5.2,1981-02-02
31,19.72,32.99,0.0,4.8,1981-02-03
32,15.66,32.56,0.0,5.2,1981-02-04
33,17.01,30.95,0.0,4.7,1981-02-05
34,15.85,30.62,0.0,4.7,1981-02-06
35,16.59,27.79,0.16,4.0,1981-02-07
36,18.47,29.23,0.0,4.1,1981-02-08
37,19.94,36.8,0.0,5.8,1981-02-09
38,20.43,37.88,0.0,6.0,1981-02-10
39,19.56,37.05,0.0,5.9,1981-02-11
40,18.4,31.12,0.0,4.6,1981-02-12
41,16.01,26.56,0.0,3.9,1981-02-13
42,15.51,29.35,0.0,4.6,1981-02-14
43,15.6,30.56,0.0,4.9,1981-02-15
44,15.5,32.08,0.0,5.2,1981-02-16
45,16.67,34.58,0.0,5.7,1981-02-17
46,17.9,36.87,0.0,6.2,1981-02-18
47,19.26,37.85,0.0,6.3,1981-02-19
48,18.48,37.8,0.0,6.4,1981-02-20
49,19.3,37.89,0.0,6.3,1981-02-21
50,19.29,37.56,0.0,6.3,1981-02-22
51,19.65,38.04,0.0,6.4,1981-02-23
52,19.48,37.38,0.0,6.2,1981-02-24
53,18.89,37.48,0.0,6.3,1981-02-25
54,19.87,37.62,0.0,6.3,1981-02-26
