,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,16.06,31.33,0.0,4.4,1981-01-03
1,15.79,32.7,0.0,4.7,1981-01-04
2,17.68,32.26,0.0,4.4,1981-01-05
3,17.08,31.75,0.0,4.4,1981-01-06
4,17.31,31.08,0.0,4.2,1981-01-07
5,16.32,33.89,0.0,5.0,1981-01-08
6,16.41,31.62,0.0,4.5,1981-01-09
7,16.41,33.54,0.0,4.9,1981-01-10
8,14.98,34.96,0.0,5.4,1981-01-11
9,15.07,35.23,0.0,5.5,1981-01-12
10,17.34,34.19,0.0,5.0,1981-01-13
11,17.53,31.79,0.0,4.4,1981-01-14
12,17.97,30.26,0.0,4.0,1981-01-15
13,16.55,33.69,0.0,5.0,1981-01-16
14,17.31,32.61,0.0,4.6,1981-01-17
15,15.7,30.85,0.0,4.4,1981-01-18
16,16.71,32.37,0.0,4.7,1981-01-19
17,18.02,33.81,0.0,4.9,1981-01-20
18,18.71,36.17,0.0,5.4,1981-01-21
19,16.85,37.51,0.0,5.9,1981-01-22
20,17.42,35.92,0.0,5.5,1981-01-23
21,18.08,31.14,0.0,4.3,1981-01-24
22,17.73,36.26,0.0,5.6,1981-01-25
23,18.1,35.12,0.0,5.3,1981-01-26
24,19.25,35.04,0.0,5.1,1981-01-27
25,18.57,35.65,0.0,5.4,1981-01-28
26,16.87,35.51,0.0,5.5,1981-01-29
27,17.22,36.61,0.0,5.8,1981-01-30
28,16.37,37.06,0.0,6.0,1981-01-31
29,16.14,37.02,0.0,6.0,1981-02-01
30,18.44,36.33,0.0,5.6,1981-02-02
31,19.34,35.37,0.0,5.3,1981-02-03
32,16.98,35.51,0.05,5.6,1981-02-04
33,17.88,31.14,0.09,4.4,1981-02-05
34,17.4,33.6,0.0,5.1,1981-02-06
35,18.47,33.7,0.0,5.0,1981-02-07
36,18.46,35.76,0.0,5.6,1981-02-08
37,19.51,37.95,0.0,6.0,1981-02-09
38,19.31,37.49,0.0,5.9,1981-02-10
39,20.13,37.33,0.03,5.8,1981-02-11
40,20.45,34.88,0.03,5.1,1981-02-12
41,18.69,30.4,0.03,4.2,1981-02-13
42,17.99,29.55,0.03,4.1,1981-02-14
43,17.42,33.11,0.03,5.1,1981-02-15
44,18.02,35.06,0.0,5.5,1981-02-16
45,18.88,36.01,0.0,5.7,1981-02-17
46,18.8,38.57,0.0,6.4,1981-02-18
47,20.19,39.02,0.0,6.4,1981-02-19
48,19.76,39.19,0.0,6.5,1981-02-20
49,18.83,38.69,0.0,6.5,1981-02-21
50,19.47,38.79,0.0,6.4,1981-02-22
51,19.0,39.31,0.0,6.7,1981-02-23
52,19.18,38.55,0.0,6.4,1981-02-24
53,18.25,38.5,0.0,6.6,1981-02-25
54,19.05,39.62,0.0,6.8,1981-02-26
55,18.62,40.4,0.0,7.1,1981-02-27
56,18.92,40.37,0.0,7.0,1981-02-28
57,19.16,40.08,0.0,6.9,1981-03-01
58,18.74,39.94,0.0,7.0,1981-03-02
59,20.33,40.19,0.0,6.9,1981-03-03
60,21.02,40.26,0.0,6.8,1981-03-04
61,19.92,39.87,0.0,6.9,1981-03-05
62,20.13,40.42,0.0,7.0,1981-03-06
63,20.03,40.99,0.0,7.2,1981-03-07
64,21.29,41.27,0.0,7.1,1981-03-08
65,20.66,41.73,0.0,7.4,1981-03-09
66,20.53,40.4,0.0,7.0,1981-03-10
67,20.59,40.55,0.0,7.1,1981-03-11
68,19.91,40.08,0.0,7.0,1981-03-12
69,19.65,40.08,0.0,7.1,1981-03-13
70,20.54,39.3,0.0,6.7,1981-03-14
71,20.51,38.94,0.0,6.7,1981-03-15
72,20.39,39.11,0.0,6.7,1981-03-16
73,21.1,40.41,0.0,7.0,1981-03-17
74,22.89,40.48,0.0,6.8,1981-03-18
75,21.26,40.39,0.0,7.0,1981-03-19
76,20.7,40.41,0.0,7.1,1981-03-20
77,21.98,37.59,0.0,6.1,1981-03-21
78,24.62,34.91,0.0,4.8,1981-03-22
79,24.38,37.33,0.0,5.7,1981-03-23
80,25.78,40.38,0.0,6.4,1981-03-24
81,22.18,40.44,0.0,7.0,1981-03-25
82,20.46,40.65,0.0,7.3,1981-03-26
83,22.3,41.32,0.0,7.2,1981-03-27
84,21.48,41.34,0.0,7.4,1981-03-28
85,20.74,41.73,0.0,7.6,1981-03-29
86,22.79,42.38,0.0,7.5,1981-03-30
87,25.41,40.47,0.0,6.5,1981-03-31
88,22.1,40.84,0.0,7.2,1981-04-01
89,21.68,41.15,0.0,7.3,1981-04-02
90,21.21,40.96,0.0,7.3,1981-04-03
91,20.21,40.73,0.0,7.4,1981-04-04
92,21.08,40.66,0.0,7.3,1981-04-05
93,20.52,42.06,0.0,7.8,1981-04-06
94,21.05,41.94,0.0,7.7,1981-04-07
95,23.3,41.86,0.0,7.4,1981-04-08
96,24.12,40.82,0.0,6.9,1981-04-09
97,25.33,43.4,0.0,7.5,1981-04-10
98,22.94,41.85,0.0,7.4,1981-04-11
99,23.03,41.18,0.0,7.2,1981-04-12
100,21.9,40.84,0.0,7.3,1981-04-13
101,22.5,41.86,0.0,7.5,1981-04-14
102,22.65,42.63,0.0,7.7,1981-04-15
103,23.0,40.81,0.0,7.1,1981-04-16
104,22.55,39.77,0.0,6.9,1981-04-17
105,21.23,40.12,0.0,7.2,1981-04-18
106,22.97,40.77,0.0,7.1,1981-04-19
107,24.15,42.63,0.0,7.5,1981-04-20
108,24.1,43.2,0.0,7.7,1981-04-21
109,24.2,42.21,0.0,7.4,1981-04-22
110,22.51,39.6,0.0,6.8,1981-04-23
111,21.95,40.3,0.0,7.1,1981-04-24
112,22.92,42.13,0.0,7.5,1981-04-25
113,22.94,43.05,0.0,7.8,1981-04-26
114,27.31,43.59,0.0,7.3,1981-04-27
115,25.95,41.87,0.0,7.0,1981-04-28
116,24.95,41.34,0.0,7.0,1981-04-29
117,24.44,41.63,0.0,7.2,1981-04-30
118,23.9,40.77,0.0,7.0,1981-05-01
119,23.49,41.72,0.0,7.3,1981-05-02
120,23.71,41.29,0.0,7.2,1981-05-03
121,24.19,41.33,0.0,7.1,1981-05-04
122,24.98,39.9,0.0,6.5,1981-05-05
123,25.72,40.5,0.0,6.6,1981-05-06
124,26.4,39.8,0.0,6.2,1981-05-07
125,26.08,39.45,0.0,6.2,1981-05-08
126,26.27,39.9,0.0,6.3,1981-05-09
127,26.18,40.87,0.0,6.6,1981-05-10
128,25.17,40.71,0.0,6.8,1981-05-11
129,25.95,40.69,0.0,6.6,1981-05-12
130,25.89,38.41,0.0,5.9,1981-05-13
131,24.08,37.68,0.0,6.0,1981-05-14
132,23.67,41.58,0.0,7.3,1981-05-15
133,23.39,39.93,0.0,6.8,1981-05-16
134,23.69,38.93,0.0,6.4,1981-05-17
135,22.73,40.37,0.0,7.0,1981-05-18
136,22.52,39.83,0.0,6.9,1981-05-19
137,23.26,35.26,0.0,5.4,1981-05-20
138,23.68,33.08,0.0,4.6,1981-05-21
139,22.55,39.61,0.0,6.8,1981-05-22
140,23.34,39.92,0.0,6.8,1981-05-23
141,23.84,38.1,0.0,6.1,1981-05-24
142,23.9,33.07,0.0,4.5,1981-05-25
143,25.07,36.59,0.0,5.4,1981-05-26
144,23.86,37.89,0.0,6.1,1981-05-27
145,24.3,38.98,0.0,6.3,1981-05-28
146,23.57,40.78,0.0,7.0,1981-05-29
147,23.51,40.35,0.0,6.9,1981-05-30
148,24.93,37.98,11.52,5.9,1981-05-31
149,25.22,38.53,0.0,6.0,1981-06-01
150,24.02,39.01,0.0,6.4,1981-06-02
151,24.99,35.53,0.0,5.1,1981-06-03
152,24.87,35.76,0.0,5.2,1981-06-04
153,24.52,35.9,0.0,5.3,1981-06-05
154,24.64,37.8,0.0,5.9,1981-06-06
155,24.67,38.69,0.0,6.2,1981-06-07
156,24.11,39.52,0.0,6.5,1981-06-08
157,23.94,38.95,0.0,6.4,1981-06-09
158,23.91,38.81,0.0,6.3,1981-06-10
159,24.19,38.55,0.0,6.2,1981-06-11
160,23.26,38.09,0.0,6.2,1981-06-12
161,25.18,38.35,0.0,5.9,1981-06-13
162,25.32,38.44,0.0,5.9,1981-06-14
163,25.3,35.21,0.0,4.9,1981-06-15
164,26.8,33.55,3.39,3.9,1981-06-16
165,25.34,38.62,0.0,6.0,1981-06-17
166,24.99,35.8,0.0,5.2,1981-06-18
167,25.19,38.84,0.0,6.1,1981-06-19
168,25.65,38.76,0.0,6.0,1981-06-20
169,25.76,37.6,0.0,5.6,1981-06-21
170,25.87,33.84,56.52,4.3,1981-06-22
171,25.05,33.71,12.36,4.4,1981-06-23
172,24.11,35.36,14.13,5.2,1981-06-24
173,25.29,33.54,12.36,4.3,1981-06-25
174,23.64,36.56,0.0,5.7,1981-06-26
