,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,16.7,28.9,0,3.6,1/2/1981
1,15.5,27.7,0,3.5,1/3/1981
2,12.9,25,0,3.2,1/4/1981
3,15.9,27.8,0,3.5,1/5/1981
4,15.7,29.7,0,3.9,1/6/1981
5,16.9,25.4,0,2.8,1/7/1981
6,16.7,31.9,0,4.3,1/8/1981
7,14.8,31.1,0,4.3,1/9/1981
8,16.3,31.6,0,4.3,1/10/1981
9,13.5,32.5,0,4.8,1/11/1981
10,14.8,32.5,0,4.6,1/12/1981
11,15.3,30.4,0,4.1,1/13/1981
12,15.6,27.4,0,3.5,1/14/1981
13,13.8,29.6,0,4.2,1/15/1981
14,14.4,30.3,1.2,4.3,1/16/1981
15,18,25.6,0,2.7,1/17/1981
16,17.2,26,0,2.9,1/18/1981
17,16.6,27,0,3.3,1/19/1981
18,17.1,31.3,0,4.2,1/20/1981
19,15.7,34.7,0,5.2,1/21/1981
20,17.4,36.4,0,5.4,1/22/1981
21,18.6,33.9,0,4.7,1/23/1981
22,18,34.4,0,4.9,1/24/1981
23,18,35.4,0,5.1,1/25/1981
24,19.6,32.1,0,4.1,1/26/1981
25,16.1,31.1,0,4.4,1/27/1981
26,15.7,33.3,0,4.9,1/28/1981
27,16.2,32.8,0,4.8,1/29/1981
28,14.4,33.4,0,5.1,1/30/1981
29,14.6,33.9,0,5.2,1/31/1981
30,17,29.6,0,4,2/1/1981
31,14.4,32.9,0,5,2/2/1981
32,16.5,31,0,4.4,2/3/1981
33,13.6,29.6,0,4.4,2/4/1981
34,14.6,28.9,0.3,4.1,2/5/1981
35,14.9,27.5,0,3.8,2/6/1981
36,15.3,30.2,0,4.4,2/7/1981
37,17.4,33,0.4,4.8,2/8/1981
38,19,28.7,0,3.6,2/9/1981
39,18.6,36.4,0,5.6,2/10/1981
40,20.3,33.4,0,4.6,2/11/1981
41,16,25.5,0,3.3,2/12/1981
42,15.1,26.4,0,3.6,2/13/1981
43,15.3,24,0,3,2/14/1981
44,15.1,26,0,3.5,2/15/1981
45,14.6,28.9,0.3,4.3,2/16/1981
46,14.9,32.2,0,5.1,2/17/1981
47,17.6,34.3,0,5.3,2/18/1981
48,18,35.8,0,5.6,2/19/1981
49,16.8,35.4,0,5.7,2/20/1981
50,18.7,35.8,0,5.6,2/21/1981
51,17.8,35.8,0,5.7,2/22/1981
52,19,36.2,0,5.7,2/23/1981
53,17.2,35.9,0,5.8,2/24/1981
54,17,36.3,0,6,2/25/1981
55,16.8,37.3,0,6.3,2/26/1981
56,18,38,0,6.3,2/27/1981
57,16.7,37.8,0,6.5,2/28/1981
58,16.4,37.3,0,6.4,3/1/1981
59,17.2,36.4,0,6.1,3/2/1981
