Day	Month	Year	Tmin(C)	Tmax(C)	Prcp(mm)	Et0(mm)
2	1	1981	      17.4      31.7		0	4.1
3	1	1981	      15.7      30.6		0	4.1
4	1	1981	      15.2      31.7		0	4.4
5	1	1981	      17.8      32.0		0	4.2
6	1	1981	      17.1      30.8		0	4
7	1	1981	      17.3      30.6		0.2	3.9
8	1	1981	      18.6      32.6		0	4.2
9	1	1981	      15.8      29.1		0	3.8
10	1	1981	      16.9      30.3		0	3.9
11	1	1981	      15.5      34.4		0	5
12	1	1981	      15.0      34.4		0	5.1
13	1	1981	      16.7      33.2		0.1	4.6
14	1	1981	      17.5      29.6		0	3.7
15	1	1981	      16.9      28.0		0	3.4
16	1	1981	      16.0      31.8		0	4.4
17	1	1981	      17.4      28.4		0	3.5
18	1	1981	      16.6      28.7		0	3.7
19	1	1981	      17.5      28.6		0	3.5
20	1	1981	      17.5      32.1		0	4.3
21	1	1981	      17.9      36.0		0	5.2
22	1	1981	      17.9      37.3		0	5.6
23	1	1981	      17.5      37.1		0	5.6
24	1	1981	      17.8      34.8		0	5
25	1	1981	      19.2      36.1		0	5.2
26	1	1981	      19.9      33.3		0	4.4
27	1	1981	      18.7      34.4		0	4.8
28	1	1981	      17.1      35.0		0	5.2
29	1	1981	      17.9      35.0		0	5.1
30	1	1981	      16.7      36.0		0	5.5
31	1	1981	      17.5      36.2		0	5.5
1	2	1981	      17.1      33.7		0	4.9
2	2	1981	      18.3      33.8		0	4.8
3	2	1981	      19.3      33.6		0	4.7
4	2	1981	      15.8      33.3		0	5
5	2	1981	      17.4      31.5		0	4.4
6	2	1981	      16.4      31.6		0	4.6
7	2	1981	      17.5      28.3		0	3.7
8	2	1981	      18.4      29.7		0	3.9
9	2	1981	      19.6      37.3		0	5.7
10	2	1981	      19.4      37.7		0	5.8
11	2	1981	      19.8      37.4		0	5.7
12	2	1981	      19.6      33.0		0	4.6
13	2	1981	      16.6      28.7		0	4
14	2	1981	      15.8      30.1		0	4.4
15	2	1981	      16.1      30.8		0	4.6
16	2	1981	      15.9      32.5		0	5
17	2	1981	      17.1      35.1		0	5.5
18	2	1981	      17.7      37.3		0	6
19	2	1981	      19.3      38.1		0	6.1
20	2	1981	      18.5      38.2		0	6.2
21	2	1981	      18.6      38.0		0	6.2
22	2	1981	      18.6      38.0		0	6.2
23	2	1981	      19.4      38.4		0	6.2
24	2	1981	      19.1      37.6		0	6.1
25	2	1981	      18.7      37.5		0	6.1
26	2	1981	      19.7      37.6		0	6
27	2	1981	      18.7      39.5		0	6.7
28	2	1981	      16.9      39.3		0	6.8
1	3	1981	      17.5      39.5		0	6.8
2	3	1981	      19.4      38.9		0	6.5
3	3	1981	      18.7      39.0		0	6.6
4	3	1981	      18.7      38.5		0	6.5
5	3	1981	      18.4      38.5		0	6.6
6	3	1981	      18.3      39.2		0	6.8
7	3	1981	      18.8      40.0		0	6.9
8	3	1981	      21.3      41.1		0	7
9	3	1981	      19.1      41.0		0	7.2
10	3	1981	      19.6      39.6		0	6.8
11	3	1981	      20.4      40.0		0	6.8
12	3	1981	      20.0      39.9		0	6.9
13	3	1981	      20.2      40.4		0	7
14	3	1981	      18.9      39.3		0	6.9
15	3	1981	      19.6      39.0		0	6.7
16	3	1981	      18.7      38.9		0	6.8
17	3	1981	      21.4      39.7		0	6.7
18	3	1981	      21.3      39.6		0	6.7
19	3	1981	      20.6      39.4		0	6.7
20	3	1981	      20.1      39.9		0	7
21	3	1981	      20.5      39.5		0	6.8
22	3	1981	      24.2      35.4		0	5
23	3	1981	      24.3      37.7		0	5.7
24	3	1981	      25.8      39.9		0	6.2
25	3	1981	      22.7      40.4		0	6.8
26	3	1981	      21.0      40.4		0	7.1
27	3	1981	      20.9      40.7		0	7.2
28	3	1981	      20.3      40.6		0	7.3
29	3	1981	      20.1      41.3		0	7.5
30	3	1981	      23.7      41.4		0	7
31	3	1981	      23.9      39.6		0	6.5
1	4	1981	      22.4      40.3		0	6.9
2	4	1981	      22.0      40.7		0	7.1
3	4	1981	      21.2      40.7		0	7.2
4	4	1981	      19.0      40.6		0	7.5
5	4	1981	      18.4      40.4		0	7.5
6	4	1981	      20.3      41.1		0	7.5
7	4	1981	      21.3      42.6		0	7.8
8	4	1981	      21.4      41.4		0	7.5
9	4	1981	      25.0      41.5		0	7
10	4	1981	      24.5      42.9		0	7.5
11	4	1981	      24.0      42.4		0	7.4
12	4	1981	      21.3      41.7		0	7.6
13	4	1981	      21.0      41.7		0	7.6
14	4	1981	      21.2      42.1		0	7.8
15	4	1981	      21.4      42.1		0	7.7
16	4	1981	      21.7      40.8		0	7.3
17	4	1981	      20.8      38.4		0	6.7
18	4	1981	      20.2      39.6		0	7.2
19	4	1981	      21.1      40.2		0	7.2
20	4	1981	      23.2      41.9		0	7.5
21	4	1981	      23.2      42.2		0	7.6
22	4	1981	      23.2      41.0		0	7.2
23	4	1981	      20.4      38.5		0	6.9
24	4	1981	      20.9      39.7		0	7.1
25	4	1981	      22.4      41.0		0	7.3
26	4	1981	      22.5      42.4		0	7.7
27	4	1981	      25.7      42.6		0	7.3
28	4	1981	      24.9      42.3		0	7.3
29	4	1981	      23.2      40.9		0	7.2
30	4	1981	      22.7      41.9		0	7.6
1	5	1981	      22.5      40.6		0	7.2
2	5	1981	      21.9      41.4		0	7.6
3	5	1981	      22.9      41.9		0	7.5
4	5	1981	      26.1      42.2		0	7.1
5	5	1981	      26.2      40.7		0	6.6
6	5	1981	      24.7      40.7		0	6.9
7	5	1981	      25.7      40.9		0	6.8
8	5	1981	      26.0      40.8		0	6.7
9	5	1981	      25.3      40.7		0	6.8
10	5	1981	      26.7      42.0		0	7
11	5	1981	      24.1      40.9		0	7.1
12	5	1981	      24.2      40.2		0	6.8
13	5	1981	      23.9      40.2		0	6.9
14	5	1981	      25.4      40.0		0	6.6
15	5	1981	      23.6      43.4		0	7.9
16	5	1981	      25.3      43.5		0	7.7
17	5	1981	      23.5      41.2		0	7.3
18	5	1981	      22.2      41.9		0	7.7
19	5	1981	      22.1      42.3		0	7.8
20	5	1981	      22.5      40.8		0	7.3
21	5	1981	      23.7      34.6		0	5.1
22	5	1981	      22.9      41.6		0	7.5
23	5	1981	      22.9      42.5		0	7.7
24	5	1981	      23.2      41.4		0	7.4
25	5	1981	      23.6      36.8		0	5.9
26	5	1981	      24.8      35.2		0	5.1
27	5	1981	      23.3      37.1		0	6
28	5	1981	      22.9      38.7		0	6.6
29	5	1981	      22.6      41.2		0	7.4
30	5	1981	      22.5      41.2		0	7.4
31	5	1981	      23.1      39.5		0	6.8
1	6	1981	      24.3      40.3		0	6.8
2	6	1981	      23.8      41.4		0	7.3
3	6	1981	      23.4      40.4		0	7
4	6	1981	      25.3      40.4		0	6.7
5	6	1981	      25.2      39.1		0	6.3
6	6	1981	      24.7      40.8		0	6.9
7	6	1981	      23.7      40.9		0	7.1
8	6	1981	      23.6      41.0		0	7.2
9	6	1981	      23.6      41.3		0	7.3
10	6	1981	      23.5      40.1		0	6.9
11	6	1981	      23.6      41.0		0	7.2
12	6	1981	      23.1      40.1		0	7
13	6	1981	      24.5      40.9		0	7
14	6	1981	      24.1      38.4		0	6.3
15	6	1981	      24.6      40.3		0	6.8
16	6	1981	      26.5      39.1		0	6
17	6	1981	      24.9      39.6		0	6.5
18	6	1981	      24.7      39.3		0	6.4
19	6	1981	      24.5      40.5		0	6.9
20	6	1981	      25.0      39.6		0	6.5
21	6	1981	      24.7      40.2		0	6.7
22	6	1981	      25.9      35.2		24.1	4.8
23	6	1981	      24.9      36.6		0	5.5
24	6	1981	      25.2      37.6		8	5.8
25	6	1981	      25.8      36.2		7	5.2
26	6	1981	      23.6      39.0		0	6.5
27	6	1981	      24.1      38.7		0	6.4
28	6	1981	      23.7      37.8		0	6.1
29	6	1981	      23.1      36.8		0	5.9
30	6	1981	      24.9      35.7		0	5.2
1	7	1981	      23.6      39.8		0	6.8
2	7	1981	      25.1      35.0		16.2	4.9
3	7	1981	      24.8      31.6		0	3.9
4	7	1981	      24.6      32.8		32.4	4.3
5	7	1981	      23.9      34.6		16.2	5.1
6	7	1981	      24.2      33.2		0	4.5
7	7	1981	      23.7      32.6		0	4.4
8	7	1981	      24.2      32.8		8.9	4.4
9	7	1981	      23.4      34.5		0	5.1
10	7	1981	      22.9      34.1		7.8	5.1
11	7	1981	      24.3      32.1		0	4.2
12	7	1981	      24.4      34.6		0	5
13	7	1981	      23.8      33.0		0	4.6
14	7	1981	      24.0      34.6		0	5
15	7	1981	      24.9      33.0		0	4.3
16	7	1981	      23.4      34.8		0	5.2
17	7	1981	      24.1      32.5		0	4.3
18	7	1981	      24.4      34.5		0	4.9
19	7	1981	      23.6      33.8		5.2	4.9
20	7	1981	      23.7      31.0		5.2	3.9
