,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,17.4,31.7,0.0,4.1,1981-01-02
1,15.7,30.6,0.0,4.1,1981-01-03
2,15.2,31.7,0.0,4.4,1981-01-04
3,17.8,32.0,0.0,4.2,1981-01-05
4,17.1,30.8,0.0,4.0,1981-01-06
5,17.3,30.6,0.2,3.9,1981-01-07
6,18.6,32.6,0.0,4.2,1981-01-08
7,15.8,29.1,0.0,3.8,1981-01-09
8,16.9,30.3,0.0,3.9,1981-01-10
9,15.5,34.4,0.0,5.0,1981-01-11
10,15.0,34.4,0.0,5.1,1981-01-12
11,16.7,33.2,0.1,4.6,1981-01-13
12,17.5,29.6,0.0,3.7,1981-01-14
13,16.9,28.0,0.0,3.4,1981-01-15
14,16.0,31.8,0.0,4.4,1981-01-16
15,17.4,28.4,0.0,3.5,1981-01-17
16,16.6,28.7,0.0,3.7,1981-01-18
17,17.5,28.6,0.0,3.5,1981-01-19
18,17.5,32.1,0.0,4.3,1981-01-20
19,17.9,36.0,0.0,5.2,1981-01-21
20,17.9,37.3,0.0,5.6,1981-01-22
21,17.5,37.1,0.0,5.6,1981-01-23
22,17.8,34.8,0.0,5.0,1981-01-24
23,19.2,36.1,0.0,5.2,1981-01-25
24,19.9,33.3,0.0,4.4,1981-01-26
25,18.7,34.4,0.0,4.8,1981-01-27
26,17.1,35.0,0.0,5.2,1981-01-28
27,17.9,35.0,0.0,5.1,1981-01-29
28,16.7,36.0,0.0,5.5,1981-01-30
29,17.5,36.2,0.0,5.5,1981-01-31
30,17.1,33.7,0.0,4.9,1981-02-01
31,18.3,33.8,0.0,4.8,1981-02-02
32,19.3,33.6,0.0,4.7,1981-02-03
33,15.8,33.3,0.0,5.0,1981-02-04
34,17.4,31.5,0.0,4.4,1981-02-05
35,16.4,31.6,0.0,4.6,1981-02-06
36,17.5,28.3,0.0,3.7,1981-02-07
37,18.4,29.7,0.0,3.9,1981-02-08
38,19.6,37.3,0.0,5.7,1981-02-09
39,19.4,37.7,0.0,5.8,1981-02-10
40,19.8,37.4,0.0,5.7,1981-02-11
41,19.6,33.0,0.0,4.6,1981-02-12
42,16.6,28.7,0.0,4.0,1981-02-13
43,15.8,30.1,0.0,4.4,1981-02-14
44,16.1,30.8,0.0,4.6,1981-02-15
45,15.9,32.5,0.0,5.0,1981-02-16
46,17.1,35.1,0.0,5.5,1981-02-17
47,17.7,37.3,0.0,6.0,1981-02-18
48,19.3,38.1,0.0,6.1,1981-02-19
49,18.5,38.2,0.0,6.2,1981-02-20
50,18.6,38.0,0.0,6.2,1981-02-21
51,18.6,38.0,0.0,6.2,1981-02-22
52,19.4,38.4,0.0,6.2,1981-02-23
53,19.1,37.6,0.0,6.1,1981-02-24
54,18.7,37.5,0.0,6.1,1981-02-25
55,19.7,37.6,0.0,6.0,1981-02-26
56,18.7,39.5,0.0,6.7,1981-02-27
57,16.9,39.3,0.0,6.8,1981-02-28
58,17.5,39.5,0.0,6.8,1981-03-01
59,19.4,38.9,0.0,6.5,1981-03-02
60,18.7,39.0,0.0,6.6,1981-03-03
61,18.7,38.5,0.0,6.5,1981-03-04
62,18.4,38.5,0.0,6.6,1981-03-05
63,18.3,39.2,0.0,6.8,1981-03-06
64,18.8,40.0,0.0,6.9,1981-03-07
65,21.3,41.1,0.0,7.0,1981-03-08
66,19.1,41.0,0.0,7.2,1981-03-09
67,19.6,39.6,0.0,6.8,1981-03-10
68,20.4,40.0,0.0,6.8,1981-03-11
69,20.0,39.9,0.0,6.9,1981-03-12
70,20.2,40.4,0.0,7.0,1981-03-13
71,18.9,39.3,0.0,6.9,1981-03-14
72,19.6,39.0,0.0,6.7,1981-03-15
73,18.7,38.9,0.0,6.8,1981-03-16
74,21.4,39.7,0.0,6.7,1981-03-17
75,21.3,39.6,0.0,6.7,1981-03-18
76,20.6,39.4,0.0,6.7,1981-03-19
77,20.1,39.9,0.0,7.0,1981-03-20
78,20.5,39.5,0.0,6.8,1981-03-21
79,24.2,35.4,0.0,5.0,1981-03-22
80,24.3,37.7,0.0,5.7,1981-03-23
81,25.8,39.9,0.0,6.2,1981-03-24
82,22.7,40.4,0.0,6.8,1981-03-25
83,21.0,40.4,0.0,7.1,1981-03-26
84,20.9,40.7,0.0,7.2,1981-03-27
85,20.3,40.6,0.0,7.3,1981-03-28
86,20.1,41.3,0.0,7.5,1981-03-29
87,23.7,41.4,0.0,7.0,1981-03-30
88,23.9,39.6,0.0,6.5,1981-03-31
89,22.4,40.3,0.0,6.9,1981-04-01
90,22.0,40.7,0.0,7.1,1981-04-02
91,21.2,40.7,0.0,7.2,1981-04-03
92,19.0,40.6,0.0,7.5,1981-04-04
