,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,17.5,31.9,0.0,4.3,1981-01-02
1,15.8,31.1,0.0,4.3,1981-01-03
2,15.6,32.3,0.0,4.6,1981-01-04
3,18.1,32.5,0.0,4.4,1981-01-05
4,17.4,31.0,0.0,4.1,1981-01-06
5,17.8,29.7,0.0,3.8,1981-01-07
6,17.1,33.5,0.0,4.8,1981-01-08
7,16.8,31.0,0.0,4.2,1981-01-09
8,16.9,31.3,0.0,4.3,1981-01-10
9,15.2,34.7,0.0,5.3,1981-01-11
10,14.9,35.0,0.0,5.4,1981-01-12
11,17.9,34.1,0.0,4.9,1981-01-13
12,17.8,31.0,0.0,4.1,1981-01-14
13,17.9,28.3,0.0,3.5,1981-01-15
14,17.0,32.9,0.0,4.7,1981-01-16
15,17.6,31.8,0.0,4.4,1981-01-17
16,16.3,30.9,0.0,4.4,1981-01-18
17,17.5,30.9,0.0,4.2,1981-01-19
18,18.7,33.4,0.0,4.7,1981-01-20
19,17.6,36.1,0.0,5.5,1981-01-21
20,18.0,37.4,0.0,5.8,1981-01-22
21,17.6,36.9,0.0,5.7,1981-01-23
22,18.2,32.0,0.0,4.4,1981-01-24
23,18.6,36.2,0.0,5.4,1981-01-25
24,19.9,35.0,0.0,5.0,1981-01-26
25,20.0,35.1,0.0,5.0,1981-01-27
26,18.2,35.4,0.0,5.3,1981-01-28
27,18.1,35.2,0.0,5.3,1981-01-29
28,17.7,36.3,0.0,5.6,1981-01-30
29,17.6,36.8,0.0,5.8,1981-01-31
30,16.9,36.1,0.0,5.7,1981-02-01
31,19.7,35.4,0.0,5.2,1981-02-02
32,19.6,35.0,0.0,5.1,1981-02-03
33,17.4,35.1,0.1,5.4,1981-02-04
34,18.4,32.6,0.1,4.7,1981-02-05
35,17.6,33.5,0.0,5.0,1981-02-06
36,18.9,32.2,0.0,4.6,1981-02-07
37,18.9,34.3,0.0,5.1,1981-02-08
38,20.3,38.3,0.0,6.0,1981-02-09
39,19.9,37.5,0.0,5.8,1981-02-10
40,19.9,37.5,0.0,5.9,1981-02-11
41,21.1,34.9,0.0,5.0,1981-02-12
42,18.3,31.6,0.0,4.5,1981-02-13
43,17.8,30.4,0.0,4.4,1981-02-14
44,17.5,32.2,0.0,4.9,1981-02-15
45,17.6,34.1,0.0,5.3,1981-02-16
46,18.6,35.8,0.0,5.7,1981-02-17
47,18.9,38.2,0.0,6.3,1981-02-18
