,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,15.91,31.62,0.0,4.4,1981-01-03
1,15.19,32.75,0.0,4.8,1981-01-04
2,17.16,29.98,0.0,3.9,1981-01-05
3,17.13,31.37,0.0,4.3,1981-01-06
4,16.3,33.79,0.0,4.9,1981-01-07
5,16.26,34.49,0.0,5.1,1981-01-08
6,16.48,31.48,0.0,4.4,1981-01-09
7,16.54,34.14,0.0,5.0,1981-01-10
8,17.4,35.66,0.0,5.3,1981-01-11
9,16.85,36.7,0.0,5.6,1981-01-12
10,18.59,36.4,0.0,5.3,1981-01-13
11,19.14,33.23,0.0,4.5,1981-01-14
12,19.28,31.7,0.0,4.1,1981-01-15
13,16.69,34.02,0.0,5.0,1981-01-16
14,16.66,33.52,0.0,4.9,1981-01-17
15,15.4,31.41,0.0,4.6,1981-01-18
16,17.59,34.6,0.0,5.1,1981-01-19
17,18.86,34.37,0.0,4.9,1981-01-20
18,17.84,37.67,0.0,5.8,1981-01-21
19,18.48,38.04,0.0,5.9,1981-01-22
20,17.83,37.64,0.0,5.8,1981-01-23
21,18.81,35.01,0.0,5.1,1981-01-24
22,20.47,33.23,0.0,4.4,1981-01-25
23,16.98,35.37,0.0,5.4,1981-01-26
24,17.77,35.29,0.0,5.3,1981-01-27
25,20.15,35.9,0.0,5.2,1981-01-28
26,17.31,35.82,0.0,5.5,1981-01-29
27,15.98,37.05,0.0,6.0,1981-01-30
28,17.66,37.82,0.0,6.0,1981-01-31
29,16.96,37.48,0.0,6.0,1981-02-01
30,18.81,36.55,0.0,5.6,1981-02-02
31,19.51,35.76,0.0,5.3,1981-02-03
32,20.62,37.66,0.0,5.7,1981-02-04
33,21.32,35.99,0.0,5.2,1981-02-05
34,20.56,37.66,0.0,5.7,1981-02-06
35,20.22,37.22,0.0,5.7,1981-02-07
36,19.98,39.97,0.0,6.4,1981-02-08
37,22.12,39.98,0.0,6.2,1981-02-09
38,22.72,39.21,0.0,5.9,1981-02-10
39,20.26,39.33,0.0,6.3,1981-02-11
40,20.63,34.3,0.0,4.9,1981-02-12
41,19.58,33.26,0.0,4.8,1981-02-13
42,19.62,36.11,0.0,5.6,1981-02-14
43,20.39,35.98,0.0,5.4,1981-02-15
44,20.22,36.81,0.0,5.7,1981-02-16
45,20.62,35.72,0.0,5.4,1981-02-17
46,20.45,39.13,0.0,6.3,1981-02-18
47,20.8,39.41,0.0,6.4,1981-02-19
48,19.46,39.78,0.0,6.7,1981-02-20
49,19.73,39.51,0.0,6.6,1981-02-21
50,20.44,38.55,0.0,6.2,1981-02-22
51,19.35,39.16,0.0,6.6,1981-02-23
52,19.4,38.86,0.0,6.5,1981-02-24
53,18.65,38.76,0.0,6.6,1981-02-25
54,18.52,41.13,0.0,7.2,1981-02-26
55,18.83,41.69,0.0,7.3,1981-02-27
