,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,16.7,28.9,0.0,3.6,1981-01-02
1,15.5,27.7,0.0,3.5,1981-01-03
2,12.9,25.0,0.0,3.2,1981-01-04
3,15.9,27.8,0.0,3.5,1981-01-05
4,15.7,29.7,0.0,3.9,1981-01-06
5,16.9,25.4,0.0,2.8,1981-01-07
6,16.7,31.9,0.0,4.3,1981-01-08
7,14.8,31.1,0.0,4.3,1981-01-09
8,16.3,31.6,0.0,4.3,1981-01-10
9,13.5,32.5,0.0,4.8,1981-01-11
10,14.8,32.5,0.0,4.6,1981-01-12
11,15.3,30.4,0.0,4.1,1981-01-13
12,15.6,27.4,0.0,3.5,1981-01-14
13,13.8,29.6,0.0,4.2,1981-01-15
14,14.4,30.3,1.2,4.3,1981-01-16
15,18.0,25.6,0.0,2.7,1981-01-17
16,17.2,26.0,0.0,2.9,1981-01-18
17,16.6,27.0,0.0,3.3,1981-01-19
18,17.1,31.3,0.0,4.2,1981-01-20
19,15.7,34.7,0.0,5.2,1981-01-21
20,17.4,36.4,0.0,5.4,1981-01-22
21,18.6,33.9,0.0,4.7,1981-01-23
22,18.0,34.4,0.0,4.9,1981-01-24
23,18.0,35.4,0.0,5.1,1981-01-25
24,19.6,32.1,0.0,4.1,1981-01-26
25,16.1,31.1,0.0,4.4,1981-01-27
26,15.7,33.3,0.0,4.9,1981-01-28
27,16.2,32.8,0.0,4.8,1981-01-29
28,14.4,33.4,0.0,5.1,1981-01-30
29,14.6,33.9,0.0,5.2,1981-01-31
30,17.0,29.6,0.0,4.0,1981-02-01
31,14.4,32.9,0.0,5.0,1981-02-02
32,16.5,31.0,0.0,4.4,1981-02-03
33,13.6,29.6,0.0,4.4,1981-02-04
34,14.6,28.9,0.3,4.1,1981-02-05
35,14.9,27.5,0.0,3.8,1981-02-06
36,15.3,30.2,0.0,4.4,1981-02-07
37,17.4,33.0,0.4,4.8,1981-02-08
38,19.0,28.7,0.0,3.6,1981-02-09
39,18.6,36.4,0.0,5.6,1981-02-10
40,20.3,33.4,0.0,4.6,1981-02-11
41,16.0,25.5,0.0,3.3,1981-02-12
42,15.1,26.4,0.0,3.6,1981-02-13
43,15.3,24.0,0.0,3.0,1981-02-14
44,15.1,26.0,0.0,3.5,1981-02-15
45,14.6,28.9,0.3,4.3,1981-02-16
46,14.9,32.2,0.0,5.1,1981-02-17
47,17.6,34.3,0.0,5.3,1981-02-18
48,18.0,35.8,0.0,5.6,1981-02-19
49,16.8,35.4,0.0,5.7,1981-02-20
50,18.7,35.8,0.0,5.6,1981-02-21
