,MinTemp,MaxTemp,Precipitation,ReferenceET,Date
0,13.67,27.73,0.0,4.0,1981-01-03
1,13.26,28.5,0.0,4.2,1981-01-04
2,16.48,30.22,0.0,4.2,1981-01-05
3,15.78,28.73,0.0,4.0,1981-01-06
4,16.9,26.96,0.0,3.5,1981-01-07
5,17.67,30.01,0.0,4.0,1981-01-08
6,13.48,29.21,0.0,4.3,1981-01-09
7,16.47,30.45,0.0,4.3,1981-01-10
8,14.37,32.6,0.0,4.9,1981-01-11
9,15.48,33.28,0.0,5.0,1981-01-12
10,15.7,31.7,0.0,4.6,1981-01-13
11,16.29,28.07,0.0,3.8,1981-01-14
12,15.4,27.45,0.0,3.8,1981-01-15
13,14.27,29.57,0.0,4.4,1981-01-16
14,16.93,25.4,0.0,3.2,1981-01-17
15,15.55,26.51,0.0,3.6,1981-01-18
16,17.02,26.33,0.0,3.4,1981-01-19
17,17.77,31.0,0.0,4.3,1981-01-20
18,18.33,35.22,0.0,5.2,1981-01-21
19,18.55,36.25,0.0,5.5,1981-01-22
20,18.59,34.67,0.0,5.1,1981-01-23
21,20.02,34.19,0.0,4.8,1981-01-24
22,20.17,34.98,0.0,5.0,1981-01-25
23,19.78,29.24,0.0,3.7,1981-01-26
24,18.11,32.71,0.0,4.8,1981-01-27
25,15.76,33.52,0.0,5.2,1981-01-28
26,16.4,33.02,0.0,5.0,1981-01-29
27,14.86,33.97,0.0,5.4,1981-01-30
28,15.87,34.6,0.0,5.5,1981-01-31
29,16.74,29.93,0.0,4.4,1981-02-01
30,16.01,32.53,0.0,5.0,1981-02-02
31,18.39,31.76,0.0,4.6,1981-02-03
32,14.84,32.09,0.0,5.1,1981-02-04
33,17.27,32.09,0.0,4.8,1981-02-05
34,15.93,31.71,0.0,4.9,1981-02-06
35,16.73,30.28,0.0,4.5,1981-02-07
36,19.89,31.2,0.0,4.3,1981-02-08
37,21.54,35.44,0.0,5.2,1981-02-09
38,21.82,37.49,0.0,5.7,1981-02-10
39,20.68,35.73,0.0,5.4,1981-02-11
40,19.54,30.15,0.0,4.2,1981-02-12
41,16.23,25.38,0.0,3.5,1981-02-13
42,15.65,29.12,0.0,4.5,1981-02-14
43,15.76,30.3,0.0,4.7,1981-02-15
44,15.58,31.2,0.0,5.0,1981-02-16
45,16.38,34.02,0.0,5.6,1981-02-17
46,17.09,35.38,0.0,5.8,1981-02-18
47,18.1,36.52,0.0,6.0,1981-02-19
48,17.23,37.08,0.0,6.3,1981-02-20
49,20.11,36.4,0.0,5.8,1981-02-21
50,18.44,35.79,0.0,5.9,1981-02-22
51,18.58,36.33,0.0,6.0,1981-02-23
52,18.45,36.29,0.0,6.0,1981-02-24
53,16.83,36.95,0.0,6.4,1981-02-25
54,17.9,37.87,0.0,6.5,1981-02-26
55,18.9,39.27,0.0,6.8,1981-02-27
56,18.39,38.98,0.0,6.8,1981-02-28
57,18.42,39.36,0.0,6.9,1981-03-01
58,19.44,38.48,0.0,6.6,1981-03-02
